title,preview
"The Launch Is Approaching for NASA's Next Mars Rover, Perseverance",The Red Planet's surface has been visited by eight NASA spacecraft. The ninth will be the first that includes a roundtrip ticket in its flight plan. 
Virginia Middle School Student Earns Honor of Naming NASA's Next Mars Rover,"NASA chose a seventh-grader from Virginia as winner of the agency's ""Name the Rover"" essay contest. Alexander Mather's entry for ""Perseverance"" was voted tops among 28,000 entries. "
InSight's 'Mole' Team Peers into the Pit,Efforts to save the heat probe continue.
NASA's Mars 2020 Rover Goes Coast-to-Coast to Prep for Launch,The agency's first step in returning rocks from Mars just arrived at Kennedy Space Center. The Mars 2020 team now begins readying for a launch to the Red Planet this July.
Mars Is Getting a New Robotic Meteorologist,Sensors on NASA's Perseverance will help prepare for future human exploration by taking weather measurements and studying dust particles.
MAVEN Maps Electric Currents around Mars that are Fundamental to Atmospheric Loss,"Five years after NASA’s MAVEN spacecraft entered into orbit around Mars, data from the mission has led to the creation of a map of electric current systems in the Martian atmosphere."
NASA's MAVEN Explores Mars to Understand Radio Interference at Earth,NASA’s MAVEN spacecraft has discovered “layers” and “rifts” in the electrically charged part of the upper atmosphere of Mars.
Mars 2020 Stands on Its Own Six Wheels,"In time-lapse video, taken at JPL, captures the first time NASA's Mars 2020 rover carries its full weight on its legs and wheels."
HiRISE Views NASA's InSight and Curiosity on Mars,New images taken from space offer the clearest orbital glimpse yet of InSight as well as a view of Curiosity rolling along.
How NASA's Perseverance Mars Team Adjusted to Work in the Time of Coronavirus ,"Like much of the rest of the world, the Mars rover team is pushing forward with its mission-critical work while putting the health and safety of their colleagues and community first."
Air Deliveries Bring NASA's Perseverance Mars Rover Closer to Launch,A NASA Wallops Flight Facility cargo plane transported more than two tons of equipment — including the rover's sample collection tubes — to Florida for this summer's liftoff.
Join NASA for the Launch of the Mars 2020 Perseverance Rover,"No matter where you live, choose from a menu of activities to join NASA as we ""Countdown to Mars"" and launch the Perseverance rover to the Red Planet."
NASA Prepares for Moon and Mars With New Addition to Its Deep Space Network,Robotic spacecraft will be able to communicate with the dish using radio waves and lasers.
NASA's Mars Perseverance Rover Passes Flight Readiness Review,"​The agency's Mars 2020 mission has one more big prelaunch review – the Launch Readiness Review, on July 27."
Screening Soon: 'The Pathfinders' Trains Lens on Mars,"With the Mars 2020 mission ramping up, the documentary — the first of four about past JPL missions to the Red Planet to be shown at Caltech — tells a gripping backstory."
